CancerType,Area,Race,Sex,Rate,lci,uci,Count,Population
'All Alcohol-associated Cancers','Louisiana','All Races','Male and Female','143.5','140.2','146.8','7755','4670818'
'All Alcohol-associated Cancers','Kentucky','All Races','Male and Female','142.2','138.9','145.5','7705','4453874'
'All Alcohol-associated Cancers','Mississippi','All Races','Male and Female','141.6','137.6','145.7','4997','2989663'
'All Alcohol-associated Cancers','Iowa','All Races','Male and Female','140.9','137.0','144.8','5404','3143637'
'All Alcohol-associated Cancers','Hawaii','All Races','Male and Female','140.7','135.0','146.6','2480','1424203'
'All Alcohol-associated Cancers','New Jersey','All Races','Male and Female','138.0','135.7','140.3','14961','8888543'
'All Alcohol-associated Cancers','Missouri','All Races','Male and Female','137.7','135.0','140.5','10314','6108612'
'All Alcohol-associated Cancers','West Virginia','All Races','Male and Female','136.7','131.9','141.5','3396','1817048'
'All Alcohol-associated Cancers','Illinois','All Races','Male and Female','136.7','134.8','138.6','20514','12786196'
'All Alcohol-associated Cancers','Pennsylvania','All Races','Male and Female','136.3','134.4','138.1','22616','12790447'
'All Alcohol-associated Cancers','Ohio','All Races','Male and Female','135.9','133.9','137.9','19720','11664129'
'All Alcohol-associated Cancers','New York','All Races','Male and Female','135.5','134.0','137.1','31983','19590719'
'All Alcohol-associated Cancers','Minnesota','All Races','Male and Female','134.9','132.0','137.8','8817','5568155'
'All Alcohol-associated Cancers','Montana','All Races','Male and Female','134.6','128.1','141.3','1801','1053090'
'All Alcohol-associated Cancers','Nebraska','All Races','Male and Female','134.2','129.2','139.2','2957','1917575'
'All Alcohol-associated Cancers','North Carolina','All Races','Male and Female','134.0','131.9','136.1','16539','10270800'
'All Alcohol-associated Cancers','Georgia','All Races','Male and Female','133.6','131.5','135.8','15285','10413055'
'All Alcohol-associated Cancers','Alabama','All Races','Male and Female','133.5','130.5','136.5','8007','4875120'
'All Alcohol-associated Cancers','Kansas','All Races','Male and Female','133.1','129.1','137.2','4471','2910689'
'All Alcohol-associated Cancers','North Dakota','All Races','Male and Female','133.1','125.1','141.4','1121','755176'
'All Alcohol-associated Cancers','Oklahoma','All Races','Male and Female','133.0','129.6','136.5','6075','3932640'
'All Alcohol-associated Cancers','Connecticut','All Races','Male and Female','132.7','129.2','136.2','5994','3573880'
'All Alcohol-associated Cancers','South Carolina','All Races','Male and Female','132.0','129.1','135.0','8299','5021219'
'All Alcohol-associated Cancers','Arkansas','All Races','Male and Female','132.0','128.2','135.9','4832','3002997'
'All Alcohol-associated Cancers','Maine','All Races','Male and Female','131.0','125.6','136.5','2474','1335063'
'All Alcohol-associated Cancers','Maryland','All Races','Male and Female','130.9','128.2','133.7','9315','6024891'
'All Alcohol-associated Cancers','South Dakota','All Races','Male and Female','130.6','123.4','138.0','1350','873286'
'All Alcohol-associated Cancers','Tennessee','All Races','Male and Female','130.6','128.1','133.2','10660','6708794'
'All Alcohol-associated Cancers','Massachusetts','All Races','Male and Female','130.4','127.9','132.9','10945','6863246'
'All Alcohol-associated Cancers','Indiana','All Races','Male and Female','130.3','127.8','133.0','10259','6660082'
'All Alcohol-associated Cancers','Washington','All Races','Male and Female','130.2','127.7','132.7','11185','7425432'
'All Alcohol-associated Cancers','Rhode Island','All Races','Male and Female','129.0','122.8','135.5','1721','1056486'
'All Alcohol-associated Cancers','United States','All Races','Male and Female','128.9','128.5','129.2','496450','325147121'
'All Alcohol-associated Cancers','Wisconsin','All Races','Male and Female','128.5','125.8','131.2','9200','5792051'
'All Alcohol-associated Cancers','New Hampshire','All Races','Male and Female','128.2','122.7','133.9','2264','1349767'
'All Alcohol-associated Cancers','Idaho','All Races','Male and Female','127.3','122.2','132.5','2471','1718904'
'All Alcohol-associated Cancers','Delaware','All Races','Male and Female','126.7','120.2','133.4','1551','957078'
'All Alcohol-associated Cancers','Michigan','All Races','Male and Female','125.7','123.7','127.8','15570','9976447'
'All Alcohol-associated Cancers','Alaska','All Races','Male and Female','124.5','116.0','133.3','908','739786'
'All Alcohol-associated Cancers','Texas','All Races','Male and Female','124.0','122.6','125.3','35727','28322717'
'All Alcohol-associated Cancers','Vermont','All Races','Male and Female','124.0','116.2','132.2','1049','624525'
'All Alcohol-associated Cancers','Colorado','All Races','Male and Female','123.8','121.0','126.7','7631','5615902'
'All Alcohol-associated Cancers','Virginia','All Races','Male and Female','122.1','119.8','124.3','12105','8465207'
'All Alcohol-associated Cancers','Oregon','All Races','Male and Female','121.1','118.0','124.2','6287','4146592'
'All Alcohol-associated Cancers','Florida','All Races','Male and Female','120.8','119.5','122.2','34685','20976812'
'All Alcohol-associated Cancers','California','All Races','Male and Female','119.8','118.8','120.9','52089','39399349'
'All Alcohol-associated Cancers','Nevada','All Races','Male and Female','118.6','114.9','122.4','4128','2972405'
'All Alcohol-associated Cancers','New Mexico','All Races','Male and Female','113.9','109.6','118.3','2889','2093395'
'All Alcohol-associated Cancers','Wyoming','All Races','Male and Female','111.4','103.3','119.9','763','578934'
'All Alcohol-associated Cancers','Arizona','All Races','Male and Female','109.4','107.2','111.8','9342','7048876'
'All Alcohol-associated Cancers','Utah','All Races','Male and Female','105.9','102.0','109.9','2892','3103118'
